Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
1,C2012X7R2A104K125AA,TDK,C2012X7R2A104K125AA,https://octopart.com/c2012x7r2a104k125aa-tdk-25947738,C1,Capacitor_SMD:C_0805_2012Metric,100nF,1,445-1418-1-ND,810-C2012X7R2A104K,Cut Tape,Tape & Reel,0.15414264,0.15414264,1065592,389581,1,1,https://octopart.com/click/track?ai=8237&sig=07d8436&sid=459&ppid=25947738&vpid=63974145&ct=offers,https://octopart.com/click/track?ai=8237&sig=08b25aa&sid=2401&ppid=25947738&vpid=66164415&ct=offers,Voyager Components,C2012X7R2A104K-TDK-0706,,0.0471847748,0.0471847748,0.0471847748,1010,1,https://octopart.com/click/track?ai=8237&sig=0863e2f&sid=2424&ppid=25947738&vpid=590652581&ct=offers,
1,22289020,Molex,22-28-9020,https://octopart.com/22-28-9020-molex-2648870,CONN1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal,OUT,1,WM19498-ND,538-22-28-9020,Bulk,Bulk,0.15414264,0.15414264,29238,26309,1,1,https://octopart.com/click/track?ai=8237&sig=0151ae3&sid=459&ppid=2648870&vpid=477785819&ct=offers,https://octopart.com/click/track?ai=8237&sig=0cb9e92&sid=2401&ppid=2648870&vpid=176986547&ct=offers,Digi-Key,WM19498-ND,Bulk,0.15414264,0.15414264,0.15414264,29238,1,https://octopart.com/click/track?ai=8237&sig=0151ae3&sid=459&ppid=2648870&vpid=477785819&ct=offers,
1,RC0805FR-0710KL,Yageo,RC0805FR-0710KL,https://octopart.com/rc0805fr-0710kl-yageo-40301103,R1,Resistor_SMD:R_0805_2012Metric,10k,1,311-10.0KCRCT-ND,603-RC0805FR-0710KL,Cut Tape,Tape & Reel,0.08563480000000001,0.11132524,17192069,4567778,1,1,https://octopart.com/click/track?ai=8237&sig=02e3450&sid=459&ppid=40301103&vpid=114983200&ct=offers,https://octopart.com/click/track?ai=8237&sig=0ce41c7&sid=2401&ppid=40301103&vpid=114830364&ct=offers,Freelance Electronics,RC0805FR-0710KL,,0.0113037936,0.0113037936,0.0113037936,4200,1,https://octopart.com/click/track?ai=8237&sig=00c3572&sid=13062&ppid=40301103&vpid=455503182&ct=offers,
1,RC0805FR-0710KL,Yageo,RC0805FR-0710KL,https://octopart.com/rc0805fr-0710kl-yageo-40301103,R2,Resistor_SMD:R_0805_2012Metric,10k,1,311-10.0KCRCT-ND,603-RC0805FR-0710KL,Cut Tape,Tape & Reel,0.08563480000000001,0.11132524,17192069,4567778,1,1,https://octopart.com/click/track?ai=8237&sig=02e3450&sid=459&ppid=40301103&vpid=114983200&ct=offers,https://octopart.com/click/track?ai=8237&sig=0ce41c7&sid=2401&ppid=40301103&vpid=114830364&ct=offers,Freelance Electronics,RC0805FR-0710KL,,0.0113037936,0.0113037936,0.0113037936,4200,1,https://octopart.com/click/track?ai=8237&sig=00c3572&sid=13062&ppid=40301103&vpid=455503182&ct=offers,
1,RC0805FR-0710KL,Yageo,RC0805FR-0710KL,https://octopart.com/rc0805fr-0710kl-yageo-40301103,R3,Resistor_SMD:R_0805_2012Metric,10k,1,311-10.0KCRCT-ND,603-RC0805FR-0710KL,Cut Tape,Tape & Reel,0.08563480000000001,0.11132524,17192069,4567778,1,1,https://octopart.com/click/track?ai=8237&sig=02e3450&sid=459&ppid=40301103&vpid=114983200&ct=offers,https://octopart.com/click/track?ai=8237&sig=0ce41c7&sid=2401&ppid=40301103&vpid=114830364&ct=offers,Freelance Electronics,RC0805FR-0710KL,,0.0113037936,0.0113037936,0.0113037936,4200,1,https://octopart.com/click/track?ai=8237&sig=00c3572&sid=13062&ppid=40301103&vpid=455503182&ct=offers,
1,RC0805FR-0710KL,Yageo,RC0805FR-0710KL,https://octopart.com/rc0805fr-0710kl-yageo-40301103,R4,Resistor_SMD:R_0805_2012Metric,10k,1,311-10.0KCRCT-ND,603-RC0805FR-0710KL,Cut Tape,Tape & Reel,0.08563480000000001,0.11132524,17192069,4567778,1,1,https://octopart.com/click/track?ai=8237&sig=02e3450&sid=459&ppid=40301103&vpid=114983200&ct=offers,https://octopart.com/click/track?ai=8237&sig=0ce41c7&sid=2401&ppid=40301103&vpid=114830364&ct=offers,Freelance Electronics,RC0805FR-0710KL,,0.0113037936,0.0113037936,0.0113037936,4200,1,https://octopart.com/click/track?ai=8237&sig=00c3572&sid=13062&ppid=40301103&vpid=455503182&ct=offers,
1,5011,Keystone,5011,https://octopart.com/5011-keystone-8542,TP3,TestPoint:TestPoint_Keystone_5010-5014_Multipurpose,GND,1,36-5011-ND,534-5011,Bulk,Bulk,0.34253920000000004,0.2997218,476990,66569,1,1,https://octopart.com/click/track?ai=8237&sig=0f2083a&sid=459&ppid=8542&vpid=212427649&ct=offers,https://octopart.com/click/track?ai=8237&sig=03ac86d&sid=2401&ppid=8542&vpid=37625720&ct=offers,Voyager Components,5011-KEYSTONE,,0.1109827008,0.1109827008,0.1109827008,157,1,https://octopart.com/click/track?ai=8237&sig=08934b8&sid=2424&ppid=8542&vpid=616315145&ct=offers,
1,DESD5V0S1BA-7,Diodes Inc.,DESD5V0S1BA-7,https://octopart.com/desd5v0s1ba-7-diodes+inc.-23272867,TVS1,Diode_SMD:D_SOD-323,DESD5V0S1BA-7,1,DESD5V0S1BA-7DICT-ND,621-DESD5V0S1BA-7,Cut Tape,Tape & Reel,0.2997218,0.2997218,2298,72310,1,1,https://octopart.com/click/track?ai=8237&sig=01b4a30&sid=459&ppid=23272867&vpid=50965265&ct=offers,https://octopart.com/click/track?ai=8237&sig=0f83a1a&sid=2401&ppid=23272867&vpid=103574223&ct=offers,Digi-Key,DESD5V0S1BA-7DICT-ND,Cut Tape,0.2997218,0.2997218,0.2997218,2298,1,https://octopart.com/click/track?ai=8237&sig=01b4a30&sid=459&ppid=23272867&vpid=50965265&ct=offers,
1,DESD5V0S1BA-7,Diodes Inc.,DESD5V0S1BA-7,https://octopart.com/desd5v0s1ba-7-diodes+inc.-23272867,TVS2,Diode_SMD:D_SOD-323,DESD5V0S1BA-7,1,DESD5V0S1BA-7DICT-ND,621-DESD5V0S1BA-7,Cut Tape,Tape & Reel,0.2997218,0.2997218,2298,72310,1,1,https://octopart.com/click/track?ai=8237&sig=01b4a30&sid=459&ppid=23272867&vpid=50965265&ct=offers,https://octopart.com/click/track?ai=8237&sig=0f83a1a&sid=2401&ppid=23272867&vpid=103574223&ct=offers,Digi-Key,DESD5V0S1BA-7DICT-ND,Cut Tape,0.2997218,0.2997218,0.2997218,2298,1,https://octopart.com/click/track?ai=8237&sig=01b4a30&sid=459&ppid=23272867&vpid=50965265&ct=offers,
